,Código do SINAPI,Descrição Básica,Unidade de Cálculo,Unidade de Comercialização,Normas Técnicas,Imagem,Informações Gerais,Referencial / Parâmetro de Pesquisa,Atualizado em,Obs,pagina,Arquivo
0,38081,"2 INTERRUPTORES PARALELOS + TOMADA 2P+T 10A, 250V, CONJUNTO MONTADO PARA EMBUTIR 4"" X 2"" (PLACA + SUPORTE + MODULOS) ",UN ,UN ,ABNT NBR 14136:2012 Versão Corrigida 4:2013; ABNT NBR IEC 60669:2014; ABNT NBR 14565:2013; ABNT NBR 5410:2004 Versão Corrigida:2008; ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Conjunto montado para embutir. Agrega três módulos (2 interruptores paralelos e 1 tomada 10 A, padrão NBR 14136), suporte para placa e placa com três postos. Insumo deve ser coletado com base na linha básica do respectivo fabricante, vide exemplos no campo ""Referência/Parâmetro de coleta"", a linha coletada deve ser modular (modulo(s) + suporte + placa). ", SCHNEIDER (MILUZ); PIAL-LEGRAND (PIALPLUS); SIMON (SIMON 20) ,28/10/15 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",3,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
1,38070,"2 INTERRUPTORES PARALELOS 10A, 250V, CONJUNTO MONTADO PARA EMBUTIR 4"" X 2"" (PLACA + SUPORTE + MODULOS) ",UN ,UN ,ABNT NBR 14136:2012 Versão Corrigida 4:2013; ABNT NBR IEC 60669:2014; ABNT NBR 14565:2013; ABNT NBR 5410:2004 Versão Corrigida:2008; ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Conjunto montado para embutir. Agrega dois módulos (2 interruptores paralelos), suporte para placa e placa com dois postos. Insumo deve ser coletado com base na linha básica do respectivo fabricante, vide exemplos no campo ""Referência/Parâmetro de coleta"", a linha coletada deve ser modular (modulo(s) + suporte + placa). ", SCHNEIDER (MILUZ); PIAL-LEGRAND (PIALPLUS); SIMON (SIMON 20) ,28/10/15 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",4,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
2,38072,"2 INTERRUPTORES SIMPLES + INTERRUPTOR PARALELO 10A, 250V, CONJUNTO MONTADO PARA EMBUTIR 4"" X 2"" (PLACA + SUPORTE + MODULOS) ",UN ,UN ,ABNT NBR 14136:2012 Versão Corrigida 4:2013; ABNT NBR IEC 60669:2014; ABNT NBR 14565:2013; ABNT NBR 5410:2004 Versão Corrigida:2008; ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Conjunto montado para embutir. Agrega três módulos (2 interruptores simples e 1 paralelo), suporte para placa e placa com três postos. Insumo deve ser coletado com base na linha básica do respectivo fabricante, vide exemplos no campo ""Referência/Parâmetro de coleta"", a linha coletada deve ser modular (modulo(s) + suporte + placa). ", SCHNEIDER (MILUZ); PIAL-LEGRAND (PIALPLUS); SIMON (SIMON 20) ,28/10/15 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",5,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
3,38079,"2 INTERRUPTORES SIMPLES + TOMADA 2P+T 10A, 250V, CONJUNTO MONTADO PARA EMBUTIR 4"" X 2"" (PLACA + SUPORTE + MODULOS) ",UN ,UN ,ABNT NBR 14136:2012 Versão Corrigida 4:2013; ABNT NBR IEC 60669:2014; ABNT NBR 14565:2013; ABNT NBR 5410:2004 Versão Corrigida:2008; ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Conjunto montado para embutir. Agrega três módulos (2 interruptores simples e 1 tomada 10 A, padrão NBR 14136), suporte para placa e placa com três postos. Insumo deve ser coletado com base na linha básica do respectivo fabricante, vide exemplos no campo ""Referência/Parâmetro de coleta"", a linha coletada deve ser modular (modulo(s) + suporte + placa). ", SCHNEIDER (MILUZ); PIAL-LEGRAND (PIALPLUS); SIMON (SIMON 20) ,28/10/15 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",6,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
4,38068,"2 INTERRUPTORES SIMPLES 10A, 250V, CONJUNTO MONTADO PARA EMBUTIR 4"" X 2"" (PLACA + SUPORTE + MODULOS) ",UN ,UN ,ABNT NBR 14136:2012 Versão Corrigida 4:2013; ABNT NBR IEC 60669:2014; ABNT NBR 14565:2013; ABNT NBR 5410:2004 Versão Corrigida:2008; ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Conjunto montado para embutir. Agrega dois módulos (2 interruptores simples), suporte para placa e placa com dois postos. Insumo deve ser coletado com base na linha básica do respectivo fabricante, vide exemplos no campo ""Referência/Parâmetro de coleta"", a linha coletada deve ser modular (modulo(s) + suporte + placa). ", SCHNEIDER (MILUZ); PIAL-LEGRAND (PIALPLUS); SIMON (SIMON 20) ,28/10/15 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",7,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
5,38076,"2 TOMADAS 2P+T 10A, 250V, CONJUNTO MONTADO PARA EMBUTIR 4"" X 2"" (PLACA + SUPORTE + MODULOS) ",UN ,UN ,ABNT NBR 14136:2012 Versão Corrigida 4:2013; ABNT NBR IEC 60669:2014; ABNT NBR 14565:2013; ABNT NBR 5410:2004 Versão Corrigida:2008; ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Conjunto montado para embutir. Agrega dois módulos (2 tomadas 10 A, padrão NBR 14136), suporte para placa e placa com dois postos. Insumo deve ser coletado com base na linha básica do respectivo fabricante, vide exemplos no campo ""Referência/Parâmetro de coleta"", a linha coletada deve ser modular (modulo(s) + suporte + placa). ", SCHNEIDER (MILUZ); PIAL-LEGRAND (PIALPLUS); SIMON (SIMON 20) ,28/10/15 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",8,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
6,38074,"3 INTERRUPTORES PARALELOS 10A, 250V, CONJUNTO MONTADO PARA EMBUTIR 4"" X 2"" (PLACA + SUPORTE + MODULO) ",UN ,UN ,ABNT NBR 14136:2012 Versão Corrigida 4:2013; ABNT NBR IEC 60669:2014; ABNT NBR 14565:2013; ABNT NBR 5410:2004 Versão Corrigida:2008; ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Conjunto montado para embutir. Agrega três módulos (3 interruptores paralelos), suporte para placa e placa com três postos. Insumo deve ser coletado com base na linha básica do respectivo fabricante, vide exemplos no campo ""Referência/Parâmetro de coleta"", a linha coletada deve ser modular (modulo(s) + suporte + placa). ", SCHNEIDER (MILUZ); PIAL-LEGRAND (PIALPLUS); SIMON (SIMON 20) ,28/10/15 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",9,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
7,38071,"3 INTERRUPTORES SIMPLES 10A, 250V, CONJUNTO MONTADO PARA EMBUTIR 4"" X 2"" (PLACA + SUPORTE + MODULOS) ",UN ,UN ,ABNT NBR 14136:2012 Versão Corrigida 4:2013; ABNT NBR IEC 60669:2014; ABNT NBR 14565:2013; ABNT NBR 5410:2004 Versão Corrigida:2008; ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Conjunto montado para embutir. Agrega três módulos (3 interruptores simples), suporte para placa e placa com três postos. Insumo deve ser coletado com base na linha básica do respectivo fabricante, vide exemplos no campo ""Referência/Parâmetro de coleta"", a linha coletada deve ser modular (modulo(s) + suporte + placa). ", SCHNEIDER (MILUZ); PIAL-LEGRAND (PIALPLUS); SIMON (SIMON 20) ,28/10/15 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",10,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
8,38605,ABERTURA PARA ENCAIXE DE CUBA OU LAVATORIO EM BANCADA DE MARMORE/ GRANITO OU OUTRO TIPO DE PEDRA NATURAL ,UN ,UN ,NBR 15845:2010 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,"Abertura a ser executada, em bancada/ prancha em pedra natural, na marmoraria. ", Montepedra; Multipedras ,05/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",11,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
9,11270,"ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM ",UN ,UN ,NBR 6323:2007 ,NÃO HÁ IMAGEM DISPONÍVEL POR SE TRATAR DE MÃO-DE-OBRA ,Abraçadeira de rosca para cabos em geral com possibilidade de fixação em paredes. São utilizadas na fixação de condutores de baixada de cabo redondo na instalação de pára-raios. , ,18/02/16 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. Data da base de dados19/12/2016 ",12,11_2016 - FichaInsumo_ComMarcas\Arquivos A a G.pdf
