,Unnamed: 0.1,Código do SINAPI,Descrição Básica,Unidade de Cálculo,Normas Técnicas,Imagem,Informações Gerais,Atualizado em,Obs,pagina,Arquivo
0,0.0,38605,ABERTURA PARA ENCAIXE DE CUBA OU LAVATORIO EM BANCADA DE MARMORE/ GRANITO OU OUTRO TIPO DE PEDRA NATURAL ,UN ,NBR 15845:2010 ,,"Abertura no formato da cuba a ser executada em bancada/prancha de pedra natural (mármore ou granito), na marmoraria. ",02/05/2016 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",3,10_2021 - FichaInsumo\Arquivos A a G.pdf
1,1.0,11270,"ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM ",UN ,NBR 6323:2016 ,,Abraçadeira de rosca para cabos em geral com possibilidade de fixação em paredes. São utilizadas na fixação de condutores de baixada de cabo redondo na instalação de pára-raios. ,18/02/2016 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",4,10_2021 - FichaInsumo\Arquivos A a G.pdf
2,2.0,412,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM ",UN ,MIL- S-23190E; ASTM-D 4066; ASTM-D 789 ,,"Abraçadeira convencional fabricada em Nylon 6.6, cor preta ou natural, medidas aproximadascomprimento 230mm, largura 7,6mm e diâmetro de amarração 55mm. Flamabilidade auto-extinguível UL94V-2. Temperatura de trabalho de - 40°C a 85°C. São utilizadas em instalações convencionais de painéis e na montagem de quadros de comando. Em substituição a outros meios de amarração as abraçadeiras são amplamente utilizadas pela contrução civil e pela indústria, em especial no segmento eletro-eletrônico. ",09/11/2018 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",5,10_2021 - FichaInsumo\Arquivos A a G.pdf
3,3.0,414,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM ",UN ,MIL- S-23190E; ASTM-D 4066; ASTM-D 789 ,,"Abraçadeira convencional fabricada em Nylon 6.6 (Poliamida 6.6), cor preta ou natural, medidas aproximadascomprimento 100mm, largura 2,5mm e diâmetro de amarração 22mm. Flamabilidade auto-extinguível UL94V-2. Temperatura de trabalho de -40°C a 85°C. São utilizadas em instalações convencionais de painéis e na montagem de quadros de comando. Em substituição a outros meios de amarração as abraçadeiras são amplamente utilizadas pela contrução civil e pela indústria, em especial no segmento eletro-eletrônico. ",09/11/2018 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",6,10_2021 - FichaInsumo\Arquivos A a G.pdf
4,4.0,410,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM ",UN ,MIL- S-23190E; ASTM-D 4066; ASTM-D 789 ,,"Abraçadeira convencional fabricada em Nylon 6.6, cor preta ou natural, medidas aproximadascomprimento 150mm, largura 3,6mm e diâmetro de amarração 35mm. Flamabilidade auto-extinguível UL94V-2. Temperatura de trabalho de - 40°C a 85°C. São utilizadas em instalações convencionais de painéis e na montagem de quadros de comando. Em substituição a outros meios de amarração as abraçadeiras são amplamente utilizadas pela contrução civil e pela indústria, em especial no segmento eletro-eletrônico. ",09/11/2018 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",7,10_2021 - FichaInsumo\Arquivos A a G.pdf
5,5.0,411,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM ",UN ,MIL- S-23190E; ASTM-D 4066; ASTM-D 789 ,,"Abraçadeira convencional fabricada em Nylon 6.6, cor preta ou natural, medidas aproximadascomprimento 200mm, largura 4,6mm e diâmetro de amarração 50mm. Flamabilidade auto-extinguível UL94V-2. Temperatura de trabalho de - 40°C a 85°C. São utilizadas em instalações convencionais de painéis e na montagem de quadros de comando. Em substituição a outros meios de amarração as abraçadeiras são amplamente utilizadas pela contrução civil e pela indústria, em especial no segmento eletro-eletrônico. ",09/11/2018 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",8,10_2021 - FichaInsumo\Arquivos A a G.pdf
6,6.0,408,"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM ",UN ,MIL- S-23190E; ASTM-D 4066; ASTM-D 789 ,,"Abraçadeira convencional fabricada em Nylon 6.6, cor preta ou natural, medidas aproximadascomprimento 390mm, largura 4,6mm e diâmetro de amarração 110mm. Flamabilidade auto-extinguível UL94V-2. Temperatura de trabalho de - 40°C a 85°C. São utilizadas em instalações convencionais de painéis e na montagem de quadros de comando. Em substituição a outros meios de amarração as abraçadeiras são amplamente utilizadas pela contrução civil e pela indústria, em especial no segmento eletro-eletrônico. ",09/11/2018 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",9,10_2021 - FichaInsumo\Arquivos A a G.pdf
7,7.0,41946,"ABRACADEIRA EM ACO GALVANIZADO PARA SISTEMA DE LINHA DE VIDA, PARA POSTE TUBULAR DE DIAMETRO 3"" E CABO DE ACO DE DIAMETRO 12,7 MM (1/2"") ",UN ,NR18; NR 35 ,,"Abraçadeira para linha de vida (varal de segurança) fabricada em aço, acabamento galvanizado, serve como guia para passagem do cabo de aço sem necessidade de furos (presa ao poste metálico) nos sistemas contra quedas de altura para lajes horizontais em canteiros de obra. ",08/11/2021 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",10,10_2021 - FichaInsumo\Arquivos A a G.pdf
8,8.0,39131,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 1 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de uma trava (Cunha). Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",11,10_2021 - FichaInsumo\Arquivos A a G.pdf
9,9.0,394,"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO ",UN ,NBR 6323:2016; NBR 7397:2013; NBR 7398:2009; NBR 7399:2009; NBR NM 87:2004 ,,"Abraçadeira Tipo D de 1 1/2"" fabricada em aço e com acabamento galvanizado eletrolítico (zincado). Sua fixação é realizada através de um parafuso. Indicada tanto para fixações elétricas, quanto para hidráulicas aparentes. ",28/12/2017 SINAPI ESPECIFICAÇÃO TÉCNICA DE INSUMO ,"as dimensões entre asteriscos (*), quando houver, indicam a aceitação de medidas aproximadas. ",12,10_2021 - FichaInsumo\Arquivos A a G.pdf
