,CODIGO  ,DESCRICAO DO INSUMO,UNIDADE DE MEDIDA,ORIGEM DO PRECO,PRECO MEDIANO R$
0,2418,"!EM PROCESSO DE DESATIVACAO! DOBRADICA EM ACO/FERRO, 3"" X 2 1/2"", E= 1,2 A 1,8 MM, SEM ANEL,  CROMADO OU ZINCADO, TAMPA BOLA, COM PARAFUSOS                                                                                                                                                                                                                                                                                                                                                               ",UN    ,C ,"11,40"
1,3378,"!EM PROCESSO DE DESATIVACAO! HASTE DE ATERRAMENTO EM ACO COM 3,00 M DE COMPRIMENTO E DN = 3/4"", REVESTIDA COM BAIXA CAMADA DE COBRE, SEM CONECTOR                                                                                                                                                                                                                                                                                                                                                         ",UN    ,CR,"108,02"
2,3380,"!EM PROCESSO DE DESATIVACAO! HASTE DE ATERRAMENTO EM ACO COM 3,00 M DE COMPRIMENTO E DN = 5/8"", REVESTIDA COM BAIXA CAMADA DE COBRE, COM CONECTOR TIPO GRAMPO                                                                                                                                                                                                                                                                                                                                             ",UN    ,C ,"75,62"
3,3379,"!EM PROCESSO DE DESATIVACAO! HASTE DE ATERRAMENTO EM ACO COM 3,00 M DE COMPRIMENTO E DN = 5/8"", REVESTIDA COM BAIXA CAMADA DE COBRE, SEM CONECTOR                                                                                                                                                                                                                                                                                                                                                         ",UN    ,CR,"73,01"
4,615,"!EM PROCESSO DE DESATIVACAO! JANELA BASCULANTE, ACO, COM BATENTE/REQUADRO, 60 X 80 CM (SEM VIDROS)                                                                                                                                                                                                                                                                                                                                                                                                        ",M2    ,AS,"440,78"
5,606,"!EM PROCESSO DE DESATIVACAO! JANELA DE CORRER, ACO, BATENTE/REQUADRO DE 6 A 14 CM, QUADRICULADA, PINTURA ANTICORROSIVA, SEM VIDRO, BANDEIRA COM BASCULA, 4 FLS, 120  X 150 CM (A X L)                                                                                                                                                                                                                                                                                                                     ",M2    ,AS,"692,41"
6,13382,"!EM PROCESSO DE DESATIVACAO! LUMINARIA FECHADA P/ ILUMINACAO PUBLICA, TIPO ABL 50/F OU EQUIV, P/ LAMPADA A VAPOR DE MERCURIO 400W                                                                                                                                                                                                                                                                                                                                                                         ",UN    ,AS,"492,71"
7,11199,"!EM PROCESSO DE DESATIVACAO!JANELA DE CORRER, ACO, BATENTE/REQUADRO DE 6 A 14 CM,  COM DIVISAO HORIZ , PINT ANTICORROSIVA, SEM VIDRO, BANDEIRA COM BASCULA, 4 FLS, 120  X 150 CM (A X L)                                                                                                                                                                                                                                                                                                                  ",UN    ,AS,"993,55"
8,21136,"!EM PROCESSO DESATIVACAO! ELETRODUTO EM ACO GALVANIZADO ELETROLITICO, LEVE, DIAMETRO 1"", PAREDE DE 0,90 MM                                                                                                                                                                                                                                                                                                                                                                                                ",M     ,AS,"17,13"
9,21128,"!EM PROCESSO DESATIVACAO! ELETRODUTO EM ACO GALVANIZADO ELETROLITICO, LEVE, DIAMETRO 3/4"", PAREDE DE 0,90 MM                                                                                                                                                                                                                                                                                                                                                                                              ",M     ,AS,"13,26"
